topic,lesson,chin_simple,chin_traditional,pinyin,english
"Phrases 2
","Lesson - 2
",说,說,"shuì 

shuō","to persuade

to speak / to say / to explain / to scold / to tell off / a theory (typically the last character in a compound, as in 日心說｜日心说 heliocentric theory)"
"Phrases 2
","Lesson - 2
",英语,英語,Yīng yǔ,English (language)
"Phrases 2
","Lesson - 2
",汉语,漢語,Hàn yǔ,Chinese language / CL: 門｜门
"Phrases 2
","Lesson - 2
",汉,漢,"Hàn 

hàn","Han ethnic group / Chinese (language) / the Han dynasty (206 BC-220 AD)

man"
"Phrases 2
","Lesson - 2
",语,語,"yǔ 

yù","dialect / language / speech

to tell to"
"Phrases 2
","Lesson - 3
",帮助,幫助,bāng zhù,assistance / aid / to help / to assist
"Phrases 2
","Lesson - 3
",再,NA,zài,"again / once more / re- / second / another / then (after sth, and not until then)"
"Phrases 2
","Lesson - 3
",请,請,qǐng,to ask / to invite / please (do sth) / to treat (to a meal etc) / to request
"Phrases 2
","Lesson - 3
",次,NA,cì,"next in sequence / second / the second (day, time etc) / secondary / vice- / sub- / infra- / inferior quality / substandard / order / sequence / hypo- (chemistry) / classifier for enumerated events: time"
"Phrases 2
","Lesson - 3
",帮,幫,bāng,"to help / to assist / to support / for sb (i.e. as a help) / hired (as worker) / side (of pail, boat etc) / outer layer / upper (of a shoe) / group / gang / clique / party / secret society"
"Phrases 2
","Lesson - 3
",助,NA,zhù,to help / to assist
"Greeting 4
","Lesson - 1
",早安,NA,zǎo ān,Good morning!
"Greeting 4
","Lesson - 1
",晚安,NA,wǎn ān,Good night! / Good evening!
"Greeting 4
","Lesson - 1
",一会儿,一會兒,yī huìr,a moment / a while / in a moment / now...now... / also pr. [yi1 hui3 r5]
"Greeting 4
","Lesson - 1
",见,見,"jiàn 

xiàn","to see / to meet / to appear (to be sth) / to interview

to appear / also written 現｜现"
"Greeting 4
","Lesson - 1
",会,會,"huì 

kuài","can / to be possible / to be able to / will / to be likely to / to be sure to / to assemble / to meet / to gather / to see / union / group / association / CL: 個｜个 / a moment (Taiwan pr. for this sense is [hui3])

to balance an account / accountancy / accounting"
"Greeting 4
","Lesson - 1
",安,NA,"Ān 

ān","surname An

content / calm / still / quiet / safe / secure / in good health / to find a place for / to install / to fix / to fit / to bring (a charge against sb) / to pacify / to harbor (good intentions) / security / safety / peace / ampere"
"Greeting 4
","Lesson - 2
",最近,NA,zuì jìn,recent / recently / these days / latest / soon / nearest (of locations) / shortest (of routes)
"Greeting 4
","Lesson - 2
",好久不见,好久不見,hǎo jiǔ bu jiàn,long time no see
"Greeting 4
","Lesson - 2
",不错,不錯,bù cuò,correct / right / not bad / pretty good
"Greeting 4
","Lesson - 2
",最,NA,zuì,most / the most / -est (superlative suffix)
"Greeting 4
","Lesson - 2
",近,NA,jìn,near / close to / approximately
"Greeting 4
","Lesson - 2
",久,NA,jiǔ,(long) time / (long) duration of time
"Greeting 4
","Lesson - 2
",错,錯,"Cuò 

cuò","surname Cuo

mistake / wrong / bad / interlocking / complex / to grind / to polish / to alternate / to stagger / to miss / to let slip / to evade / to inlay with gold or silver"
"Drink
","Lesson - 1
",要,NA,"yāo 

yào","to demand / to request / to coerce

important / vital / to want / to ask for / will / going to (as future auxiliary) / may / must / (used in a comparison) must be / probably / if"
"Drink
","Lesson - 1
",热,熱,rè,to warm up / to heat up / hot (of weather) / heat / fervent
"Drink
","Lesson - 1
",冰,NA,bīng,ice / CL: 塊｜块 / to chill sth / (of an object or substance) to feel cold / (of a person) cold / unfriendly / (slang) methamphetamine
"Drink
","Lesson - 2
",牛奶,NA,niú nǎi,"cow's milk / CL: 瓶, 杯"
"Drink
","Lesson - 2
",咖啡,NA,kā fēi,coffee (loanword) / CL: 杯
"Drink
","Lesson - 2
",牛,NA,"Niú 

niú","surname Niu

ox / cow / bull / CL: 條｜条, 頭｜头 / (slang) awesome"
"Drink
","Lesson - 2
",奶,NA,"nǎi 

nǎi","breast / milk / to breastfeed

mother / variant of 奶"
"Drink
","Lesson - 2
",咖,NA,kā,coffee / class / grade
"Drink
","Lesson - 2
",啡,NA,fēi,(phonetic component)
"Location 2
","Lesson - 1
",洗手间,洗手間,xǐ shǒu jiān,toilet / lavatory / washroom
"Location 2
","Lesson - 1
",医院,醫院,yī yuàn,"hospital / CL: 所, 家, 座"
"Location 2
","Lesson - 1
",洗,NA,xǐ,to wash / to bathe / to develop (photo)
"Location 2
","Lesson - 1
",手,NA,shǒu,"hand / (formal) to hold / person engaged in certain types of work / person skilled in certain types of work / personal(ly) / convenient / classifier for skill / CL: 雙｜双, 隻｜只"
"Location 2
","Lesson - 1
",间,間,"jiān 

jiàn","between / among / within a definite time or space / room / section of a room or lateral space between two pairs of pillars / classifier for rooms

gap / to separate / to thin out (seedlings) / to sow discontent"
"Location 2
","Lesson - 1
",院,NA,yuàn,courtyard / institution / CL: 個｜个
"Location 2
","Lesson - 2
",这儿,這兒,zhèr,here
"Location 2
","Lesson - 2
",那儿,那兒,nàr,there
"Location 2
","Lesson - 2
",饭馆,飯館,fàn guǎn,restaurant / CL: 家
"Location 2
","Lesson - 2
",馆,館,guǎn,building / shop / term for certain service establishments / embassy or consulate / schoolroom (old) / CL: 家
"Time 1
","Lesson - 1
",年,NA,"Nián 

nián 

nián","surname Nian

year / CL: 個｜个

grain / harvest (old) / variant of 年"
"Time 1
","Lesson - 1
",月,NA,yuè,"moon / month / monthly / CL: 個｜个, 輪｜轮"
"Time 1
","Lesson - 1
",号,號,"háo 

hào","roar / cry / CL: 個｜个

ordinal number / day of a month / mark / sign / business establishment / size / ship suffix / horn (wind instrument) / bugle call / assumed name / to take a pulse / classifier used to indicate number of people"
"Time 1
","Lesson - 1
",几,NA,"jī 

jī 

jǐ","small table

almost

how much / how many / several / a few"
"Time 1
","Lesson - 1
",〇,NA,líng,zero
"Time 1
","Lesson - 2
",星期,NA,xīng qī,week / CL: 個｜个 / day of the week / Sunday
"Time 1
","Lesson - 2
",明天,NA,míng tiān,tomorrow
"Time 1
","Lesson - 2
",天,NA,tiān,day / sky / heaven
"Time 1
","Lesson - 2
",日,NA,"Rì 

rì","abbr. for 日本, Japan

sun / day / date, day of the month"
"Time 1
","Lesson - 2
",星,NA,xīng,star / heavenly body / satellite / small amount
"Time 1
","Lesson - 2
",期,NA,qī,"a period of time / phase / stage / classifier for issues of a periodical, courses of study / time / term / period / to hope / Taiwan pr. [qi2]"
"Time 1
","Lesson - 2
",明,NA,"Míng 

míng","Ming Dynasty (1368-1644) / surname Ming / Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝 descended from Shennong 神農｜神农 Farmer God

bright / opposite: dark 暗 / (of meaning) clear / to understand / next / public or open / wise / generic term for a sacrifice to the gods"
"Time 1
","Lesson - 3
",点,點,diǎn,point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更 / dot stroke in Chinese characters / classifier for items
"Time 1
","Lesson - 3
",现在,現在,xiàn zài,now / at present / at the moment / modern / current / nowadays
"Time 1
","Lesson - 3
",半,NA,bàn,half / semi- / incomplete / (after a number) and a half
"Time 1
","Lesson - 3
",现,現,xiàn,to appear / present / now / existing / current
"Family 2
","Lesson - 1
",孩子,NA,hái zi,child
"Family 2
","Lesson - 1
",两,兩,liǎng,"two / both / some / a few / tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)"
"Family 2
","Lesson - 1
",孩,NA,hái,child
"Family 2
","Lesson - 1
",子,NA,"zǐ 

zi","son / child / seed / egg / small thing / 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat / Viscount, fourth of five orders of nobility 五等爵位 / ancient Chinese compass point: 0° (north)

(noun suffix)"
"Family 2
","Lesson - 2
",女儿,女兒,nǚ ér,daughter
"Family 2
","Lesson - 2
",儿子,兒子,ér zi,son
"Family 2
","Lesson - 2
",岁,歲,suì,classifier for years (of age) / year / year (of crop harvests)
"Family 2
","Lesson - 2
",女,NA,nǚ,female / woman / daughter
"Family 2
","Lesson - 2
",儿,兒,"ér 

r","child / son

non-syllabic diminutive suffix / retroflex final"
"Family 2
","Lesson - 3
",妻子,NA,"qī zǐ 

qī zi","wife and children

wife / CL: 個｜个"
"Family 2
","Lesson - 3
",丈夫,NA,zhàng fu,husband / CL: 個｜个
"Family 2
","Lesson - 3
",妻,NA,"qī 

qì","wife

to marry off (a daughter)"
"Family 2
","Lesson - 3
",丈,NA,zhàng,"measure of length, ten Chinese feet (3.3 m) / to measure / husband / polite appellation for an older male"
"Family 2
","Lesson - 3
",夫,NA,"fū 

fú","husband / man / manual worker / conscripted laborer (old)

(classical) this, that / he, she, they / (exclamatory final particle) / (initial particle, introduces an opinion)"
"Family 2
","Lesson - 4
",猫,貓,māo,cat / CL: 隻｜只 / (dialect) to hide oneself / (coll.) modem
"Family 2
","Lesson - 4
",它,NA,tā,it
"Family 2
","Lesson - 4
",狗,NA,gǒu,"dog / CL: 隻｜只, 條｜条"
"Telephone
","Lesson - 1
",喂,NA,"wéi 

wèi 

wèi","hello (when answering the phone)

hey / to feed (an animal, baby, invalid etc)

to feed"
"Telephone
","Lesson - 1
",慢,NA,màn,slow
"Telephone
","Lesson - 1
",一点儿,NA,yī diǎnr,erhua variant of 一點｜一点
"Telephone
","Lesson - 2
",快,NA,kuài,rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plainspoken / gratified / pleased / pleasant
"Telephone
","Lesson - 2
",得,NA,"dé 

de 

děi","to obtain / to get / to gain / to catch (a disease) / proper / suitable / proud / contented / to allow / to permit / ready / finished

structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc

to have to / must / ought to / to need to"
"Telephone
","Lesson - 2
",明白,NA,míng bai,clear / obvious / unequivocal / to understand / to realize
"Telephone
","Lesson - 2
",白,NA,"Bái 

bái","surname Bai

white / snowy / pure / bright / empty / blank / plain / clear / to make clear / in vain / gratuitous / free of charge / reactionary / anti-communist / funeral / to stare coldly / to write wrong character / to state / to explain / vernacular / spoken lines in opera"
"People 1
","Lesson - 1
",漂亮,NA,piào liang,pretty / beautiful
"People 1
","Lesson - 1
",高,NA,"Gāo 

gāo","surname Gao

high / tall / above average / loud / your (honorific)"
"People 1
","Lesson - 1
",漂,NA,"piāo 

piǎo 

piào","to float / to drift

to bleach

elegant / polished"
"People 1
","Lesson - 1
",亮,NA,liàng,bright / clear / resonant / to shine / to show / to reveal
"People 1
","Lesson - 2
",朋友,NA,péng you,"friend / CL: 個｜个, 位"
"People 1
","Lesson - 2
",男,NA,nán,"male / Baron, lowest of five orders of nobility 五等爵位 / CL: 個｜个"
"People 1
","Lesson - 2
",矮,NA,ǎi,low / short (in length)
"People 1
","Lesson - 2
",朋,NA,péng,friend
"People 1
","Lesson - 2
",友,NA,yǒu,friend
"People 1
","Lesson - 3
",女,NA,nǚ,female / woman / daughter
"People 1
","Lesson - 3
",可爱,可愛,kě ài,adorable / cute / lovely
"People 1
","Lesson - 3
",非常,NA,fēi cháng,very / very much / unusual / extraordinary
"People 1
","Lesson - 3
",可,NA,"kě 

kè","can / may / able to / to approve / to permit / to suit / (particle used for emphasis) certainly / very

see 可汗"
"People 1
","Lesson - 3
",非,NA,"Fēi 

fēi","abbr. for 非洲, Africa

to not be / not / wrong / incorrect / non- / un- / in- / to reproach or blame / (colloquial) to insist on / simply must"
"People 1
","Lesson - 3
",常,NA,"Cháng 

cháng","surname Chang

always / ever / often / frequently / common / general / constant"
"Time 2
","Lesson - 1
",上午,NA,shàng wǔ,morning / CL: 個｜个
"Time 2
","Lesson - 1
",分,NA,"fēn 

fèn","to divide / to separate / to distribute / to allocate / to distinguish (good and bad) / part or subdivision / fraction / one tenth (of certain units) / unit of length equivalent to 0.33 cm / minute (unit of time) / minute (angular measurement unit) / a point (in sports or games) / 0.01 yuan (unit of money)

part / share / ingredient / component"
"Time 2
","Lesson - 1
",下午,NA,xià wǔ,afternoon / CL: 個｜个 / p.m.
"Time 2
","Lesson - 1
",晚上,NA,wǎn shang,evening / night / CL: 個｜个 / in the evening
"Time 2
","Lesson - 1
",午,NA,wǔ,"7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse / ancient Chinese compass point: 180° (south)"
"Time 2
","Lesson - 1
",晚,NA,wǎn,evening / night / late
"Time 2
","Lesson - 1
",下,NA,xià,"down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action"
"Time 2
","Lesson - 2
",每,NA,měi,each / every
"Time 2
","Lesson - 2
",中午,NA,zhōng wǔ,noon / midday / CL: 個｜个
"Time 2
","Lesson - 2
",周末,週末,zhōu mò,weekend
"Time 2
","Lesson - 2
",天,NA,tiān,day / sky / heaven
"Time 2
","Lesson - 2
",周,NA,"Zhōu 

zhōu 

zhōu","surname Zhou / Zhou Dynasty (1046-256 BC)

to make a circuit / to circle / circle / circumference / lap / cycle / complete / all / all over / thorough / to help financially

week / weekly / variant of 周"
"Time 2
","Lesson - 2
",末,NA,mò,tip / end / final stage / latter part / inessential detail / powder / dust / opera role of old man
"Time 2
","Lesson - 3
",昨天,NA,zuó tiān,yesterday
"Time 2
","Lesson - 3
",上,NA,"shǎng 

shàng","see 上聲｜上声

on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)"
"Time 2
","Lesson - 3
",了,NA,"le 

liǎo 

liǎo","(modal particle intensifying preceding clause) / (completed action marker)

to finish / to achieve / variant of 瞭｜了 / to understand clearly

(of eyes) bright / clear-sighted / to understand clearly"
"Time 2
","Lesson - 3
",做,NA,zuò,to do / to make / to produce / to write / to compose / to act as / to engage in / to hold (a party) / to be / to become / to function (in some capacity) / to serve as / to be used for / to form (a bond or relationship) / to pretend / to feign / to act a part / to put on appearance
"Time 2
","Lesson - 3
",昨,NA,zuó,yesterday
"Time 2
","Lesson - 4
",今年,NA,jīn nián,this year
"Time 2
","Lesson - 4
",去年,NA,qù nián,last year
"Time 2
","Lesson - 4
",明年,NA,míng nián,next year
"Time 2
","Lesson - 4
",下,NA,xià,"down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action"
"Time 2
","Lesson - 4
",会,會,"huì 

kuài","can / to be possible / to be able to / will / to be likely to / to be sure to / to assemble / to meet / to gather / to see / union / group / association / CL: 個｜个 / a moment (Taiwan pr. for this sense is [hui3])

to balance an account / accountancy / accounting"
"Time 2
","Lesson - 4
",去,NA,qù,to go / to go to (a place) / (of a time etc) last / just passed / to send / to remove / to get rid of / to reduce / to be apart from in space or time / to die (euphemism) / to play (a part) / (when used either before or after a verb) to go in order to do sth / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation)
"Location 3
","Lesson - 1
",旁边,旁邊,páng biān,lateral / side / to the side / beside
"Location 3
","Lesson - 1
",左边,左邊,zuǒ bian,left / the left side / to the left of
"Location 3
","Lesson - 1
",右边,右邊,yòu bian,"right side / right, to the right"
"Location 3
","Lesson - 1
",旁,NA,páng,"beside / one side / other / side / self / the right-hand side of split Chinese character, often the phonetic"
"Location 3
","Lesson - 1
",左,NA,"Zuǒ 

zuǒ","surname Zuo

left / the Left (politics) / east / unorthodox / queer / wrong / differing / opposite / variant of 佐"
"Location 3
","Lesson - 1
",右,NA,yòu,right (-hand) / the Right (politics) / west (old)
"Location 3
","Lesson - 1
",边,邊,"biān 

bian","side / edge / margin / border / boundary / CL: 個｜个 / simultaneously

suffix of a noun of locality"
"Location 3
","Lesson - 2
",前面,NA,qián miàn,ahead / in front / preceding / above / also pr. [qian2 mian5]
"Location 3
","Lesson - 2
",后面,後面,hòu miàn,rear / back / behind / later / afterwards / also pr. [hou4 mian5]
"Location 3
","Lesson - 2
",学校,學校,xué xiào,school / CL: 所
"Location 3
","Lesson - 2
",前,NA,qián,front / forward / ahead / first / top (followed by a number) / future / ago / before / BC (e.g. 前293年) / former / formerly
"Location 3
","Lesson - 2
",后,NA,"Hòu 

hòu 

hòu","surname Hou

empress / queen

back / behind / rear / afterwards / after / later"
"Location 3
","Lesson - 2
",校,NA,"jiào 

xiào","to proofread / to check / to compare

school / military officer / CL: 所"
"Location 3
","Lesson - 3
",走,NA,zǒu,"to walk / to go / to run / to move (of vehicle) / to visit / to leave / to go away / to die (euph.) / from / through / away (in compound verbs, such as 撤走) / to change (shape, form, meaning)"
"Location 3
","Lesson - 3
",到,NA,dào,to (a place) / until (a time) / up to / to go / to arrive / (verb complement denoting completion or result of an action)
"Location 3
","Lesson - 3
",路,NA,"Lù 

lù","surname Lu

road / CL: 條｜条 / journey / route / line (bus etc) / sort / kind"
"Location 3
","Lesson - 3
",怎么,怎麼,zěn me,how? / what? / why?
"Location 3
","Lesson - 4
",哪里,哪裏,"nǎ lǐ 

nǎ lǐ","where? / somewhere / anywhere / wherever / nowhere (negative answer to question) / humble expression denying compliment / also written 哪裡｜哪里

where? / somewhere / anywhere / wherever / nowhere (negative answer to question) / humble expression denying compliment"
"Location 3
","Lesson - 4
",这里,這裡,zhè lǐ,here
"Location 3
","Lesson - 4
",那里,那裏,"nà li 

nà li","there / that place / also written 那裡｜那里

there / that place"
"Location 3
","Lesson - 4
",往,NA,wǎng,to go (in a direction) / to / towards / (of a train) bound for / past / previous
"Location 3
","Lesson - 4
",里,裡,"lǐ 

Lǐ 

lǐ","lining / interior / inside / internal / also written 裏｜里

Li (surname)

li, ancient measure of length, approx. 500 m / neighborhood / ancient administrative unit of 25 families / (Tw) borough, administrative unit between the township 鎮｜镇 and neighborhood 鄰｜邻 levels"
"Hobbies 1
","Lesson - 1
",喜欢,喜歡,xǐ huan,to like / to be fond of
"Hobbies 1
","Lesson - 1
",看,NA,"kān 

kàn","to look after / to take care of / to watch / to guard

to see / to look at / to read / to watch / to visit / to call on / to consider / to regard as / to look after / to treat (an illness) / to depend on / to feel (that) / (after verb) to give it a try / Watch out! (for a danger)"
"Hobbies 1
","Lesson - 1
",书,書,"Shū 

shū","abbr. for 書經｜书经

book / letter / document / CL: 本, 冊｜册, 部 / to write"
"Hobbies 1
","Lesson - 1
",在,NA,zài,(located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)
"Hobbies 1
","Lesson - 1
",喜,NA,xǐ,to be fond of / to like / to enjoy / to be happy / to feel pleased / happiness / delight / glad
"Hobbies 1
","Lesson - 1
",欢,歡,"huān 

huān 

huān","joyous / happy / pleased

hubbub / clamor / variant of 歡｜欢

a breed of horse / variant of 歡｜欢"
"Hobbies 1
","Lesson - 2
",玩,NA,wán,to play / to have fun / to trifle with / toy / sth used for amusement / curio or antique (Taiwan pr. [wan4]) / to keep sth for entertainment
"Hobbies 1
","Lesson - 2
",电脑,電腦,diàn nǎo,computer / CL: 臺｜台
"Hobbies 1
","Lesson - 2
",游戏,遊戲,yóu xì,game / CL: 場｜场 / to play
"Hobbies 1
","Lesson - 2
",最,NA,zuì,most / the most / -est (superlative suffix)
"Hobbies 1
","Lesson - 2
",脑,腦,nǎo,brain / mind / head / essence
"Hobbies 1
","Lesson - 2
",游,NA,"Yóu 

yóu 

yóu","surname You

to swim / variant of 遊｜游

to walk / to tour / to roam / to travel"
"Hobbies 1
","Lesson - 2
",戏,戲,xì,"trick / drama / play / show / CL: 出, 場｜场, 臺｜台"
"Hobbies 1
","Lesson - 3
",听,NA,"yǐn 

tīng 

tìng","smile (archaic)

to listen / to hear / to obey / a can (loanword from English ""tin"") / classifier for canned beverages

(literary pronunciation, still advocated in Taiwan) to rule / to sentence / to allow"
"Hobbies 1
","Lesson - 3
",音乐,音樂,yīn yuè,"music / CL: 張｜张, 曲, 段"
"Hobbies 1
","Lesson - 3
",歌,NA,gē,"song / CL: 支, 首 / to sing"
"Hobbies 1
","Lesson - 3
",音,NA,yīn,sound / noise / note (of musical scale) / tone / news / syllable / reading (phonetic value of a character)
"Hobbies 1
","Lesson - 3
",乐,樂,"Lè 

Yuè 

lè 

yuè","surname Le

surname Yue

happy / cheerful / to laugh

music"
"Hobbies 1
","Lesson - 4
",跳舞,NA,tiào wǔ,to dance
