"","accidentMonthYear","accidentMonth","accidentYear","claims","avgMonthlyClaims","indexMonthly"
"1",2001-04-01,4,2001,31,36.6666666666667,0.845454545454545
"2",2001-05-01,5,2001,33,36.6666666666667,0.9
"3",2001-06-01,6,2001,37,36.6666666666667,1.00909090909091
"4",2001-07-01,7,2001,26,36.6666666666667,0.709090909090909
"5",2001-08-01,8,2001,28,36.6666666666667,0.763636363636364
"6",2001-09-01,9,2001,30,36.6666666666667,0.818181818181818
"7",2001-10-01,10,2001,61,36.6666666666667,1.66363636363636
"8",2001-11-01,11,2001,35,36.6666666666667,0.954545454545455
"9",2001-12-01,12,2001,49,36.6666666666667,1.33636363636364
"10",2002-01-01,1,2002,34,36.9166666666667,0.920993227990971
"11",2002-02-01,2,2002,35,36.9166666666667,0.948081264108352
"12",2002-03-01,3,2002,33,36.9166666666667,0.893905191873589
"13",2002-04-01,4,2002,41,36.9166666666667,1.11060948081264
"14",2002-05-01,5,2002,31,36.9166666666667,0.839729119638826
"15",2002-06-01,6,2002,40,36.9166666666667,1.08352144469526
"16",2002-07-01,7,2002,38,36.9166666666667,1.0293453724605
"17",2002-08-01,8,2002,34,36.9166666666667,0.920993227990971
"18",2002-09-01,9,2002,39,36.9166666666667,1.05643340857788
"19",2002-10-01,10,2002,35,36.9166666666667,0.948081264108352
"20",2002-11-01,11,2002,41,36.9166666666667,1.11060948081264
"21",2002-12-01,12,2002,42,36.9166666666667,1.13769751693002
"22",2003-01-01,1,2003,46,37.9166666666667,1.21318681318681
"23",2003-02-01,2,2003,32,37.9166666666667,0.843956043956044
"24",2003-03-01,3,2003,52,37.9166666666667,1.37142857142857
"25",2003-04-01,4,2003,39,37.9166666666667,1.02857142857143
"26",2003-05-01,5,2003,38,37.9166666666667,1.0021978021978
"27",2003-06-01,6,2003,38,37.9166666666667,1.0021978021978
"28",2003-07-01,7,2003,28,37.9166666666667,0.738461538461539
"29",2003-08-01,8,2003,34,37.9166666666667,0.896703296703297
"30",2003-09-01,9,2003,32,37.9166666666667,0.843956043956044
"31",2003-10-01,10,2003,37,37.9166666666667,0.975824175824176
"32",2003-11-01,11,2003,40,37.9166666666667,1.05494505494505
"33",2003-12-01,12,2003,39,37.9166666666667,1.02857142857143
"34",2004-01-01,1,2004,39,40.0833333333333,0.972972972972973
"35",2004-02-01,2,2004,45,40.0833333333333,1.12266112266112
"36",2004-03-01,3,2004,51,40.0833333333333,1.27234927234927
"37",2004-04-01,4,2004,31,40.0833333333333,0.773388773388773
"38",2004-05-01,5,2004,35,40.0833333333333,0.873180873180873
"39",2004-06-01,6,2004,28,40.0833333333333,0.698544698544698
"40",2004-07-01,7,2004,38,40.0833333333333,0.948024948024948
"41",2004-08-01,8,2004,35,40.0833333333333,0.873180873180873
"42",2004-09-01,9,2004,55,40.0833333333333,1.37214137214137
"43",2004-10-01,10,2004,48,40.0833333333333,1.1975051975052
"44",2004-11-01,11,2004,41,40.0833333333333,1.02286902286902
"45",2004-12-01,12,2004,35,40.0833333333333,0.873180873180873
"46",2005-01-01,1,2005,39,40.8333333333333,0.955102040816326
"47",2005-02-01,2,2005,35,40.8333333333333,0.857142857142857
